PackageName;PackageArguments;Date;Returncode;Installed
Microsoft_DotNetFramework_4.7_EN_01.00;;;;
REBOOT;;;;
Oracle_JavaREx64_8.0.1440.11_ML_01.00;;;;
DonHo_NotepadPlusPlusX64_7.5.1_ML_01.00;;;;
IgorPavlov_7ZipX64_16.04_ML_01.00;;;;
MartinPrikryl_WinSCP_5.9.4_ML_01.00;;;;
REBOOT;;;;
TheGimpTeam_Gimp_2.8.20_ML_01.00;;;;
SimonTatham_PuTTYx64_0.70_EN_01.00;;;;
Sourceforge_FreeMind_1.0.1_ML_01.00;;;;
Sysinternals_SysinternalsSuiteJune2017_1.0_EN_01.00;;;;
REBOOT;;;;
